bim360_account_id,bim360_project_id,relationship_guid,item1_domain,item1_entitytype,item1_id,item2_domain,item2_entitytype,item2_id,created_on,deleted_on,is_deleted,is_service_owned
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,beed7e05-606c-4e1d-aa40-d5939dcbdf8b,autodesk-bim360-modelcoordination,documentlineage,urn:adsk.wipprod:dm.lineage:3Bf9b7qmRuCxkzZZvzZoqA#{3D},autodesk-bim360-issue,coordination,a7656ea1-15f8-4221-8faf-212983ba12ea,2025-10-09 05:06:49.383951,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,6e941c3e-dd56-40a2-ac83-1cd03a1e576e,autodesk-bim360-documentmanagement,documentversion,urn:adsk.wipprod:dm.lineage:3Bf9b7qmRuCxkzZZvzZoqA?version=1,autodesk-bim360-issue,coordination,a7656ea1-15f8-4221-8faf-212983ba12ea,2025-10-09 05:06:49.388143,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,e123e116-314d-43da-9403-18e0c187699d,autodesk-bim360-modelcoordination,clashgroup,edec49b5-e2b6-4e74-a0a4-81cec5f47ca7,autodesk-bim360-issue,coordination,a7656ea1-15f8-4221-8faf-212983ba12ea,2025-10-09 05:06:49.391158,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,18d4dbcc-0da6-4ed9-a30b-731bb2ff4e88,autodesk-bim360-modelcoordination,scope,cd2f8c3a-e5be-46d5-8dfd-d6ada2475426,autodesk-bim360-issue,coordination,a7656ea1-15f8-4221-8faf-212983ba12ea,2025-10-09 05:06:49.393763,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,1d5a27a4-94e4-4da4-963f-4203e137489b,autodesk-bim360-issue,coordination,a7656ea1-15f8-4221-8faf-212983ba12ea,autodesk-bim360-modelcoordination,container,af8b83a7-47eb-4049-9275-c86b659a4b79,2025-10-09 05:06:49.396542,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0a562fb6-aad4-4325-a2bf-9485f0e227ed,autodesk-bim360-issue,issue,a7656ea1-15f8-4221-8faf-212983ba12ea,autodesk-bim360-rfi,rfi,4d9a66b8-08e7-4b0f-bf78-ce4e8ae9f7ad,2025-10-09 05:07:12.069587,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,f4d23408-8ff7-4404-9cae-de67b8dba6c7,autodesk-bim360-rfi,rfi,6410951d-ed87-48cb-b18a-684982110087,autodesk-bim360-issue,issue,1d08c014-45bc-4683-9d1c-397cb66389f1,2025-10-09 13:07:07.507109,,f,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,30dce88a-dc45-4aae-b912-958cc1fbcf3a,autodesk-bim360-issue,issue,7bcf0a8a-a834-4163-9a06-c3d5cf5df79f,autodesk-construction-markup,markupdocument,urn:adsk.wipprod:fs.file:vf.K0rEQEIlSj-d8oOKrdIYxw?version=4,2025-10-10 01:55:52.453757,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,eae35b8d-841f-471a-994d-8ae7030add34,autodesk-bim360-issue,issue,7bcf0a8a-a834-4163-9a06-c3d5cf5df79f,autodesk-construction-markup,markup,f59aeb20-7c35-4992-b612-4b406773530e,2025-10-10 01:55:52.460417,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,bf03c514-434d-4404-98d4-695039ec7249,autodesk-bim360-modelcoordination,documentlineage,urn:adsk.wipprod:dm.lineage:K0rEQEIlSj-d8oOKrdIYxw#{3D},autodesk-bim360-issue,coordination,7bcf0a8a-a834-4163-9a06-c3d5cf5df79f,2025-10-10 01:55:53.716665,,f,t
